Division ID,Division,State,Ordinary Yes Votes,Ordinary Yes % of Formal,Ordinary No Votes,Ordinary No % of Formal,Ordinary Informal Votes,Ordinary Informal % of Total,Absent Yes Votes,Absent Yes % of Formal,Absent No Votes,Absent No % of Formal,Absent Informal Votes,Absent Informal % of Total,Provisional Yes Votes,Provisional Yes % of Formal,Provisional No Votes,Provisional No % of Formal,Provisional Informal Votes,Provisional Informal % of Total,Pre-Poll Yes Votes,Pre-Poll Yes % of Formal,Pre-Poll No Votes,Pre-Poll No % of Formal,Pre-Poll Informal Votes,Pre-Poll Informal % of Total,Postal Yes Votes,Postal Yes % of Formal,Postal No Votes,Postal No % of Formal,Postal Informal Votes,Postal Informal % of Total
148,Shortland,NSW,34292,38.55,54652,61.45,1064,1.18,2143,45.23,2595,54.77,63,1.31,253,40.42,373,59.58,6,0.95,1469,39.2,2278,60.8,27,0.72,3306,33.2,6653,66.8,52,0.52
307,Solomon,NT,17398,35.5,31613,64.5,408,0.83,210,44.59,261,55.41,0,0,139,37.98,227,62.02,1,0.27,2160,45.61,2576,54.39,22,0.46,895,32.4,1867,67.6,4,0.14
325,Spence,SA,25750,28.34,65122,71.66,1088,1.18,1830,31.7,3942,68.3,51,0.88,499,34.01,968,65.99,11,0.74,1098,29.33,2645,70.67,23,0.61,3126,21.63,11323,78.37,66,0.45
190,Sturt,SA,38767,43.78,49774,56.22,857,0.96,3306,51.34,3134,48.66,75,1.15,390,45.14,474,54.86,7,0.8,2251,48.21,2418,51.79,33,0.7,6229,34.15,12010,65.85,107,0.58
247,Swan,WA,34313,43.05,45391,56.95,669,0.83,3508,49.47,3583,50.53,53,0.74,610,47.99,661,52.01,7,0.55,2625,44.28,3303,55.72,40,0.67,3757,34.7,7071,65.3,59,0.54
149,Sydney,NSW,55522,71.36,22282,28.64,742,0.94,5048,73.04,1863,26.96,71,1.02,719,73.22,263,26.78,11,1.11,5112,71.45,2043,28.55,35,0.49,6932,65.51,3649,34.49,30,0.28
248,Tangney,WA,36681,41.68,51319,58.32,685,0.77,2956,51.94,2735,48.06,38,0.66,358,49.24,369,50.76,10,1.36,2232,43.16,2939,56.84,28,0.54,3646,31.91,7781,68.09,59,0.51
233,Wannon,VIC,28510,31.6,61699,68.4,896,0.98,1555,52.2,1424,47.8,24,0.8,160,41.45,226,58.55,2,0.52,1803,41.84,2506,58.16,27,0.62,2987,29.19,7247,70.81,61,0.59
151,Warringah,NSW,46687,59.51,31771,40.49,718,0.91,2783,66.34,1412,33.66,45,1.06,272,62.1,166,37.9,2,0.45,3153,65.74,1643,34.26,26,0.54,4452,52.83,3975,47.17,45,0.53
251,Watson,NSW,31598,41.99,43653,58.01,1843,2.39,2610,47.83,2847,52.17,91,1.64,381,44.72,471,55.28,12,1.39,1558,49.12,1614,50.88,30,0.94,3343,36.45,5829,63.55,67,0.73
152,Wentworth,NSW,44976,62.71,26740,37.29,723,1,2708,71.98,1054,28.02,37,0.97,392,67.01,193,32.99,4,0.68,3700,71.39,1483,28.61,22,0.42,4956,52.39,4503,47.61,54,0.57
153,Werriwa,NSW,34667,37.24,58415,62.76,1718,1.81,2145,38.92,3367,61.08,90,1.61,449,39.88,677,60.12,12,1.05,1276,38.34,2052,61.66,17,0.51,3404,30.95,7596,69.05,78,0.7
150,Whitlam,NSW,35889,35.56,65042,64.44,1281,1.25,1602,43.54,2077,56.46,47,1.26,242,38.41,388,61.59,11,1.72,1487,41.68,2081,58.32,25,0.7,2822,33.21,5676,66.79,35,0.41
178,Wide Bay,QLD,21402,25.31,63171,74.69,763,0.89,1102,32.65,2273,67.35,27,0.79,175,30.17,405,69.83,6,1.02,1606,28.51,4027,71.49,22,0.39,2394,20.37,9361,79.63,47,0.4
234,Wills,VIC,48552,66.1,24902,33.9,959,1.29,4205,71.82,1650,28.18,47,0.8,427,64.7,233,35.3,12,1.79,3894,69.96,1672,30.04,38,0.68,6695,52.49,6060,47.51,68,0.53
316,Wright,QLD,18371,22.61,62884,77.39,752,0.92,2143,30.81,4812,69.19,53,0.76,266,26.1,753,73.9,15,1.45,1690,26.74,4630,73.26,26,0.41,3710,18.59,16249,81.41,113,0.56
